Voltage (V),Current (mA),Current (A)
0.02,0,0
0.04,0,0
0.15,0,0
0.25,0,0
0.33,0.006,0.000006
0.44,0.04,0.00004
0.51,0.09,0.00009
0.61,0.21,0.00021
0.76,0.41,0.00041
0.88,0.6,0.0006
0.97,0.73,0.00073
1.07,0.9,0.0009
1.14,1.01,0.00101
1.24,1.18,0.00118
1.32,1.31,0.00131
1.43,1.48,0.00148
1.5,1.62,0.00162
1.57,1.73,0.00173
1.61,1.8,0.0018
1.68,1.91,0.00191
1.77,2.07,0.00207
1.87,2.24,0.00224
1.98,2.44,0.00244
2.05,2.56,0.00256
2.13,2.7,0.0027
2.23,2.86,0.00286
2.35,3.07,0.00307
2.46,3.27,0.00327
2.62,3.54,0.00354
2.75,3.77,0.00377
2.82,3.89,0.00389
2.95,4.12,0.00412
3.1,4.39,0.00439
3.35,4.82,0.00482
