Resistance,l1 (left),l1 (right),l2 (left),l2 (right)
0.1,49.6,50.4,51.8,48.2
0.2,47.9,52.1,53.7,46.3
0.3,45.8,54.2,55.4,44.6
0.4,43.8,56.2,57.4,42.6
0.5,42.3,57.7,59,41
0.6,40.5,59.5,60.7,39.3
0.7,38.5,61.5,62.7,37.3
0.8,36.8,63.2,64.3,35.7
0.9,34.9,65.1,66.3,33.7
1,32.2,67.8,68.9,31.1
1.1,30.4,69.6,70.6,29.4
1.2,28.8,71.2,72.6,27.4
1.3,26.6,73.4,74.3,25.7
1.4,24.5,75.5,76.2,23.8
1.5,23.2,76.8,77.8,22.2
1.6,21.5,78.5,79.5,20.5
1.7,19.5,80.5,81.4,18.6
1.8,17.8,82.2,83.1,16.9
1.9,15.7,84.3,85,15
2,14.1,85.9,86.6,13.4
